,neighborhood,zipcodes,gentrification_label,coffee,cafe,avg_rating,avg_price,starbucks_count,bars,"%, Less than 9th grade","%, 9th to 12th grade, no diploma",% High school graduate (includes equivalency),"% Some college, no degree",% A Associate's degree,% Bachelor's degree,% Graduate or professional degree,% high school graduate or higher,% bachelor's degree or higher,% White,% African American,% American Indian and Alaska Native,% American Indian and Alaska Native - Cherokee tribal grouping,% American Indian and Alaska Native - Chippewa tribal grouping,% American Indian and Alaska Native - Navajo tribal grouping,% American Indian and Alaska Native - Sioux tribal grouping,% Asian,% Asian Indian,% Chinese,% Filipino,% Japanese,% Korean,% Vietnamese,% Other Asian,% Native Hawaiian and Other Pacific Islander,% Native Hawaiian and Other Pacific Islander - Native Hawaiian,% Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,% Native Hawaiian and Other Pacific Islander - Samoan,% Native Hawaiian and Other Pacific Islander - Other Pacific Islander,% Some other race,median_household_income_$,mean_household_income_$
96,Upper East Side,10128,Higher-Income,22.0,10.0,3.545262759191727,1.8169869117237536,6.0,5.0,1.2,1.7,7.6,6.4,2.7,40.4,40.0,97.1,80.4,80.7,4.9,0.0,0.0,0.0,0.0,0.0,9.2,2.6,3.1,0.9,1.0,0.7,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.5,103817,176063
97,Upper West Side,10023,Higher-Income,25.0,5.0,3.7917663178873937,2.1613475177304964,11.0,1.0,1.3,1.6,7.2,7.6,2.3,31.7,48.4,97.1,80.1,82.1,3.4,0.2,0.0,0.0,0.0,0.0,10.4,1.7,5.0,0.5,1.0,0.9,0.1,1.2,0.0,0.0,0.0,0.0,0.0,1.8,115080,199343
98,Upper West Side,10024,Higher-Income,12.0,6.0,4.248423095584667,1.446236559139785,4.0,6.0,2.5,3.0,6.8,6.8,2.3,34.4,44.2,94.5,78.6,81.4,5.4,0.1,0.0,0.0,0.0,0.0,7.3,1.5,2.9,0.5,0.5,1.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0,3.0,118594,212125
99,Upper West Side,10025,Higher-Income,18.0,10.0,3.023429047024553,1.7483432397349183,8.0,3.0,4.7,4.6,9.7,10.1,3.0,30.0,37.9,90.7,68.0,66.0,12.1,0.8,0.0,0.0,0.0,0.0,9.2,1.8,4.1,0.6,0.6,1.4,0.1,0.6,0.0,0.0,0.0,0.0,0.0,7.6,80025,136293
100,Inwood and Washington Heights,10031,Gentrifying,15.0,4.0,3.550462440785021,1.6256805341551104,,6.0,14.8,13.3,20.1,14.5,4.6,18.0,14.8,71.9,32.7,29.1,32.8,0.4,0.0,0.0,0.0,0.0,3.4,1.0,1.3,0.4,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,17.5,41848,60308
101,Inwood and Washington Heights,10032,Gentrifying,6.0,3.0,4.52978515625,1.8242857142857143,1.0,1.0,18.6,12.0,19.4,14.3,5.7,19.8,10.1,69.3,30.0,31.5,19.2,1.2,0.0,0.0,0.0,0.0,4.1,0.9,1.7,0.8,0.1,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,35.0,40054,55460
102,Inwood and Washington Heights,10033,Gentrifying,6.0,2.0,3.5113636363636362,1.4752475247524752,1.0,2.0,18.4,10.0,16.3,13.7,5.6,20.9,15.0,71.6,35.9,41.3,10.3,1.1,0.0,0.0,0.0,0.0,2.3,0.6,0.5,0.1,0.5,0.5,0.0,0.1,0.1,0.0,0.0,0.0,0.1,37.6,46349,66376
103,Inwood and Washington Heights,10034,Gentrifying,3.0,2.0,3.7032752403846154,1.7292103424178895,1.0,4.0,16.8,9.6,21.1,15.8,5.7,16.7,14.2,73.5,30.9,39.7,9.3,0.5,0.0,0.0,0.0,0.0,2.0,0.7,0.3,0.4,0.1,0.2,0.0,0.3,0.1,0.1,0.0,0.0,0.0,42.9,45643,62248
104,Inwood and Washington Heights,10040,Gentrifying,2.0,1.0,4.276162790697675,1.4126984126984128,,3.0,16.4,13.8,16.2,15.4,5.1,19.8,13.3,69.8,33.1,36.3,10.3,0.8,0.0,0.0,0.0,0.0,2.9,0.4,0.9,0.5,0.4,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,44.2,45811,59453
105,Northeast Queens,11361,Higher-Income,6.0,3.0,3.916122004357298,1.1174242424242424,1.0,2.0,6.9,4.3,21.9,15.0,9.6,25.1,17.3,88.8,42.3,50.6,2.5,0.0,0.0,0.0,0.0,0.0,39.0,2.4,16.3,0.7,0.4,16.9,0.1,2.1,0.0,0.0,0.0,0.0,0.0,5.3,81846,95852
106,Northeast Queens,11362,Higher-Income,2.0,,3.5526315789473686,1.7058823529411764,1.0,,4.7,4.3,18.0,16.6,8.3,27.2,20.9,91.0,48.1,51.5,2.4,0.0,0.0,0.0,0.0,0.0,40.7,1.3,23.2,0.3,0.0,13.4,0.6,1.8,0.0,0.0,0.0,0.0,0.0,2.2,82827,97361
